# NPT_VS_PR TimeStep=2.067055e+01 MassBarostat=1.000000e+00
#  1:iter 2:L  3:Temp    4:Stress   5:Utot   6:Ukc    7:Ubaro  8:Wbaro    9:Hamilton
 134 10.291677 5714.128754 +0.000978 -32.361466 0.217145 0.018791 0.110739 -32.014792
 135 10.254459 6020.427426 +0.001022 -32.360194 0.228785 0.008865 0.109008 -32.013537
 136 10.235321 6307.668061 +0.001040 -32.361731 0.239700 0.002344 0.107830 -32.011858
 137 10.234922 6565.555444 +0.001028 -32.366656 0.249500 0.000001 0.107227 -32.009928
 138 10.253386 6784.794058 +0.000985 -32.375201 0.257832 0.002182 0.107215 -32.007974
 139 10.290305 6957.990199 +0.000914 -32.387172 0.264413 0.008723 0.107796 -32.006241
 140 10.343575 7080.484468 +0.000817 -32.401943 0.269068 0.018160 0.108964 -32.005750
 141 10.411800 5115.303883 +0.000706 -32.417442 0.194389 0.029788 0.110665 -32.082601
 142 10.493231 5155.572185 +0.000580 -32.433760 0.195919 0.042435 0.112870 -32.082537
 143 10.585931 5162.387589 +0.000453 -32.449723 0.196178 0.054993 0.115539 -32.083013
 144 10.687944 5138.796339 +0.000337 -32.464384 0.195281 0.066597 0.118628 -32.083877
 145 10.797199 5088.451485 +0.000226 -32.476978 0.193368 0.076389 0.122091 -32.085130
 146 10.911525 5015.986933 +0.000118 -32.486798 0.190614 0.083643 0.125873 -32.086667
 147 11.028875 4926.493588 +0.000020 -32.493489 0.187214 0.088128 0.129914 -32.088233
 148 11.147393 4824.188645 -0.000064 -32.497104 0.183326 0.089891 0.134151 -32.089737
 149 11.265371 4712.225512 -0.000133 -32.497801 0.179071 0.089074 0.138522 -32.091133
 150 11.380831 4594.348724 -0.000189 -32.495844 0.174592 0.085311 0.142967 -32.092974
 151 11.492423 3696.783376 -0.000234 -32.491764 0.140483 0.079692 0.147408 -32.124180
 152 11.598955 3596.748650 -0.000271 -32.485951 0.136681 0.072629 0.151787 -32.124853
 153 11.699388 3498.718323 -0.000300 -32.478846 0.132956 0.064551 0.156047 -32.125292
 154 11.792813 3403.800112 -0.000323 -32.470870 0.129349 0.055856 0.160136 -32.125529
 155 11.878472 3312.577137 -0.000340 -32.462397 0.125883 0.046957 0.164003 -32.125554
 156 11.955748 3225.279872 -0.000354 -32.453783 0.122565 0.038214 0.167603 -32.125401
 157 12.024143 3142.515480 -0.000363 -32.445347 0.119420 0.029937 0.170895 -32.125095
 158 12.083261 3064.525662 -0.000369 -32.437336 0.116456 0.022366 0.173845 -32.124669
 159 12.132789 2991.457671 -0.000373 -32.429958 0.113680 0.015698 0.176422 -32.124159
 160 12.172470 2923.204855 -0.000377 -32.423346 0.111086 0.010077 0.178600 -32.123583
 161 12.202119 2859.676153 -0.000380 -32.417614 0.108672 0.005626 0.180358 -32.122959
 162 12.221615 2800.721559 -0.000383 -32.412843 0.106431 0.002432 0.181679 -32.122300
 163 12.230912 2746.211468 -0.000385 -32.409088 0.104360 0.000553 0.182552 -32.121623
 164 12.230033 2696.111504 -0.000386 -32.406375 0.102456 0.000005 0.182969 -32.120946
 165 12.219063 2650.328955 -0.000387 -32.404699 0.100716 0.000770 0.182929 -32.120284
 166 12.198148 2608.784098 -0.000388 -32.404023 0.099137 0.002799 0.182437 -32.119649
 167 12.167495 2571.509979 -0.000390 -32.404294 0.097721 0.006013 0.181502 -32.119058
 168 12.127369 2538.583689 -0.000391 -32.405429 0.096470 0.010304 0.180137 -32.118518
 169 12.078112 2510.129459 -0.000392 -32.407326 0.095388 0.015527 0.178361 -32.118050
 170 12.020265 2486.325151 -0.000392 -32.409849 0.094484 0.021415 0.176196 -32.117754
 171 11.954314 2724.400718 -0.000391 -32.412739 0.103531 0.027835 0.173677 -32.107697
 172 11.880817 2711.408598 -0.000389 -32.415920 0.103037 0.034569 0.170834 -32.107481
 173 11.800437 2705.175417 -0.000387 -32.419197 0.102800 0.041347 0.167702 -32.107347
 174 11.713971 2706.884598 -0.000385 -32.422337 0.102865 0.047845 0.164321 -32.107306
 175 11.622344 2718.238049 -0.000383 -32.425090 0.103297 0.053727 0.160736 -32.107330
 176 11.526615 2741.313102 -0.000378 -32.427236 0.104174 0.058645 0.156993 -32.107423
 177 11.427849 2779.567106 -0.000373 -32.428670 0.105627 0.062426 0.153146 -32.107471
 178 11.327115 2837.498648 -0.000372 -32.429539 0.107829 0.064938 0.149243 -32.107530
 179 11.225670 2919.790494 -0.000371 -32.429932 0.110956 0.065858 0.145331 -32.107788
 180 11.124952 3031.220899 -0.000367 -32.429851 0.115191 0.064918 0.141461 -32.108282
 181 11.026369 3176.542366 -0.000365 -32.429488 0.120713 0.062194 0.137687 -32.108893
 182 10.931251 3359.539970 -0.000365 -32.429225 0.127667 0.057900 0.134060 -32.109599
 183 10.841054 3581.094144 -0.000360 -32.429237 0.136087 0.052063 0.130620 -32.110468
 184 10.757354 3839.728857 -0.000348 -32.429408 0.145915 0.044833 0.127413 -32.111246
 185 10.681711 4132.220806 -0.000332 -32.429733 0.157030 0.036617 0.124485 -32.111602
 186 10.615561 4454.264534 -0.000314 -32.430611 0.169268 0.028003 0.121877 -32.111462
 187 10.560213 4799.971145 -0.000292 -32.432595 0.182406 0.019605 0.119627 -32.110958
 188 10.516802 5161.586877 -0.000269 -32.436149 0.196147 0.012060 0.117765 -32.110176
 189 10.486177 5530.421425 -0.000252 -32.441671 0.210164 0.006002 0.116319 -32.109187
 190 10.468039 5896.645383 -0.000240 -32.449396 0.224081 0.002105 0.115306 -32.107904
 191 10.462602 4758.684801 -0.000233 -32.457596 0.180837 0.000189 0.114709 -32.161862
 192 10.469754 5058.387376 -0.000233 -32.467965 0.192226 0.000327 0.114530 -32.160882
 193 10.489071 5339.305173 -0.000236 -32.480147 0.202901 0.002388 0.114765 -32.160093
 194 10.519829 5594.531412 -0.000244 -32.493631 0.212600 0.006055 0.115401 -32.159575
 195 10.561056 5818.562032 -0.000255 -32.507781 0.221113 0.010877 0.116420 -32.159372
 196 10.611537 6007.722755 -0.000269 -32.521912 0.228302 0.016308 0.117794 -32.159509
 197 10.669887 6160.685649 -0.000284 -32.535357 0.234115 0.021789 0.119491 -32.159962
 198 10.734640 6277.552867 -0.000298 -32.547513 0.238556 0.026833 0.121473 -32.160652
 199 10.804370 6360.595693 -0.000310 -32.557997 0.241711 0.031116 0.123698 -32.161472
 200 10.876716 6412.558301 -0.000320 -32.566580 0.243686 0.033495 0.126124 -32.163274
 201 10.950267 4740.601134 -0.000330 -32.572434 0.180149 0.034619 0.128675 -32.228990
 202 11.023682 4756.854699 -0.000338 -32.576395 0.180767 0.034493 0.131303 -32.229832
 203 11.095746 4758.030322 -0.000348 -32.578583 0.180812 0.033234 0.133962 -32.230576
 204 11.165398 4747.113533 -0.000355 -32.579232 0.180397 0.031046 0.136606 -32.231183
 205 11.231664 4726.520730 -0.000360 -32.578592 0.179614 0.028102 0.139195 -32.231682
 206 11.293634 4698.270116 -0.000361 -32.576882 0.178541 0.024576 0.141688 -32.232077
 207 11.350469 4664.141423 -0.000361 -32.574319 0.177244 0.020672 0.144046 -32.232357
 208 11.401474 4626.209326 -0.000361 -32.571167 0.175802 0.016648 0.146232 -32.232484
 209 11.446084 4586.060634 -0.000361 -32.567713 0.174277 0.012736 0.148212 -32.232488
 210 11.483440 4545.073178 -0.000361 -32.564188 0.172719 0.008930 0.149958 -32.232581
 211 11.513190 3738.492574 -0.000360 -32.560856 0.142068 0.005664 0.151431 -32.261693
 212 11.535057 3705.282647 -0.000358 -32.557876 0.140806 0.003060 0.152611 -32.261399
 213 11.548846 3673.379063 -0.000355 -32.555346 0.139593 0.001217 0.153483 -32.261053
 214 11.554439 3643.067737 -0.000352 -32.553362 0.138442 0.000200 0.154034 -32.260686
 215 11.551796 3614.595065 -0.000348 -32.551972 0.137360 0.000045 0.154258 -32.260310
 216 11.540958 3587.927942 -0.000343 -32.551198 0.136346 0.000752 0.154152 -32.259948
 217 11.522050 3563.176940 -0.000337 -32.551020 0.135406 0.002288 0.153718 -32.259608
 218 11.495284 3540.110485 -0.000331 -32.551398 0.134529 0.004585 0.152964 -32.259320
 219 11.460958 3518.689043 -0.000324 -32.552251 0.133715 0.007541 0.151900 -32.259095
 220 11.419325 3498.639429 -0.000315 -32.553467 0.132953 0.011092 0.150544 -32.258878
 221 11.370842 3230.352954 -0.000305 -32.554993 0.122758 0.015043 0.148909 -32.268283
 222 11.316044 3212.295557 -0.000293 -32.556620 0.122072 0.019217 0.147020 -32.268311
 223 11.255542 3194.893085 -0.000280 -32.558186 0.121410 0.023425 0.144905 -32.268446
 224 11.190063 3177.499110 -0.000264 -32.559496 0.120749 0.027438 0.142593 -32.268714
 225 11.120458 3159.344727 -0.000245 -32.560308 0.120059 0.031004 0.140119 -32.269125
 226 11.047664 3140.078895 -0.000223 -32.560398 0.119327 0.033911 0.137521 -32.269640
 227 10.972692 3119.669803 -0.000200 -32.559607 0.118552 0.035971 0.134838 -32.270247
 228 10.896648 3097.952216 -0.000174 -32.557782 0.117726 0.037006 0.132111 -32.270938
 229 10.820785 3074.396431 -0.000145 -32.554768 0.116831 0.036830 0.129383 -32.271723
 230 10.746459 3048.775180 -0.000112 -32.550438 0.115858 0.035354 0.126700 -32.272527
 231 10.675006 3021.092669 -0.000078 -32.544826 0.114806 0.032673 0.124107 -32.273240
 232 10.607736 2991.649000 -0.000043 -32.538145 0.113687 0.028960 0.121648 -32.273851
 233 10.545984 2960.577210 -0.000007 -32.530603 0.112506 0.024403 0.119363 -32.274331
 234 10.491090 2927.598439 +0.000028 -32.522461 0.111253 0.019284 0.117290 -32.274635
 235 10.444304 2893.202673 +0.000061 -32.514113 0.109946 0.014008 0.115468 -32.274691
 236 10.406669 2858.091063 +0.000091 -32.506067 0.108611 0.009064 0.113930 -32.274461
 237 10.379017 2823.013908 +0.000116 -32.498858 0.107278 0.004893 0.112703 -32.273983
 238 10.361976 2788.364067 +0.000137 -32.492928 0.105962 0.001858 0.111807 -32.273301
 239 10.355946 2754.249327 +0.000151 -32.488626 0.104665 0.000233 0.111257 -32.272471
 240 10.361162 2720.639198 +0.000159 -32.486184 0.103388 0.000174 0.111063 -32.271559
 241 10.377513 2825.870601 +0.000158 -32.485661 0.107387 0.001711 0.111231 -32.265332
 242 10.404608 2790.965040 +0.000149 -32.487014 0.106061 0.004698 0.111758 -32.264497
